"Reference","Qty","Value","Footprint","JLCPCB PN"
"C1","1","10uF","lib_fp:CAPC160X80X88L35N","C1691"
"C2,C3,C4","3","100nF","lib_fp:CAPC160X80X88L35N","C1590"
"J1","1","S2B-PH-SM4","lib_fp:JST-PH-S2B-SM4-TB","C295747"
"J2","1","MEM2061","lib_fp:MEM2061","C5151738"
"J3","1","STEMMA_QT","lib_fp:JST_SH_SM04B-SRSS-TB","C160404"
"Q1,Q2","2","IRLML6244TRPBF","lib_fp:IRLML6244TRPBF","C5123965"
"Q3,Q4","2","DMP2035UVTQ-7","lib_fp:SOT23-6P95_280X100L40X37N","C5126680"
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10","10","10K","lib_fp:RESC160X80X55L30N","C1511834"
"R11,R12","2","0R","lib_fp:ResistorJumper-3","C844915"
"SW2,SW3,SW4,SW5","4","PTS647SM38SMTR2LFS","lib_fp:SW_4.5x4.5","C2689502"
"U2","1","BME280","lib_fp:BME280","C92489"
