Designator,Mid X,Mid Y,Rotation,Layer
C1,17.526,-44.196,-90,top
C2,17.526,-47.232,-90,top
C3,2.921,-26.416,90,top
C4,4.572,-26.416,90,top
J1,34.29,-7.239,180,top
J2,10.668,-35.56,-90,top
J3,5.08,-16.51,-90,top
Q1,45.085,-10.16,0,top
Q2,45.085,-6.35,0,top
Q3,41.275,-10.16,90,top
Q4,41.275,-6.35,90,top
R1,18.161,-26.416,-90,top
R2,6.662,-26.416,-90,top
R3,8.313,-26.416,-90,top
R4,10.033,-26.416,-90,top
R5,14.859,-26.416,-90,top
R6,13.208,-26.416,-90,top
R7,16.51,-26.416,-90,top
R8,24.135,-44.196,180,top
R9,24.135,-45.72,180,top
R10,24.125,-47.244,180,top
R11,39.37,-16.63,-90,top
R12,41.909,-16.63,-90,top
SW2,59.055,-11.43,-90,top
SW3,59.055,-19.05,-90,top
SW4,59.055,-26.67,-90,top
SW5,59.055,-34.29,-90,top
U2,20.32,-45.72,0,top
